epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,1.0502843856811523,67.0,1.0452123880386353,74.0,4,4
101,0.9109581708908081,80.0,0.8821343779563904,86.0,4,4
201,0.6365055441856384,71.0,0.5776041746139526,82.0,4,4
401,0.3499048352241516,93.0,0.30490440130233765,96.0,4,4
501,0.2158467173576355,96.0,0.18719486892223358,98.0,4,4
601,0.12807779014110565,96.0,0.10950372368097305,96.0,4,4
701,0.08651798963546753,96.0,0.07234444469213486,98.0,4,4
800,0.06675045192241669,99.0,0.05716991424560547,98.0,4,4
