epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.7050976753234863,66.0,0.6617273092269897,68.0,12,9
101,0.45297694206237793,66.0,0.42630240321159363,68.0,12,9
201,0.012787234969437122,100.0,0.10408546775579453,98.0,12,9
401,0.0002531313803046942,100.0,0.2855382561683655,98.0,12,9
501,0.0001364930794807151,100.0,0.3121107816696167,98.0,12,9
601,8.603051537647843e-05,100.0,0.33177658915519714,98.0,12,9
701,5.9396094002295285e-05,100.0,0.3470204174518585,98.0,12,9
800,4.363886182545684e-05,100.0,0.3577924072742462,98.0,12,9
