epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.3576343059539795,88.0,0.2990087568759918,90.0,32,6
101,0.04174547642469406,99.0,0.03916134685277939,98.0,32,6
201,0.002112369751557708,100.0,0.14264607429504395,98.0,32,6
401,0.00010915962775470689,100.0,0.21470865607261658,98.0,32,6
501,5.8368666941532865e-05,100.0,0.22777800261974335,98.0,32,6
601,3.655192267615348e-05,100.0,0.23709721863269806,98.0,32,6
701,2.5088513211812824e-05,100.0,0.2447827011346817,98.0,32,6
800,1.8384276700089686e-05,100.0,0.25126588344573975,98.0,32,6
