epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.6887310743331909,88.0,0.6348793506622314,92.0,17,4
101,0.26982131600379944,94.0,0.2427123636007309,94.0,17,4
201,0.05012429878115654,98.0,0.0464412197470665,98.0,17,4
401,0.008240372873842716,100.0,0.08020743727684021,98.0,17,4
501,0.0034241504035890102,100.0,0.09572792798280716,98.0,17,4
601,0.001720199827104807,100.0,0.10707905143499374,98.0,17,4
701,0.0010201489785686135,100.0,0.11570233106613159,98.0,17,4
800,0.0006718516233377159,100.0,0.12271194159984589,98.0,17,4
