epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.8473374843597412,80.0,0.8090415000915527,76.0,12,3
101,0.5923579335212708,88.0,0.5481607913970947,84.0,12,3
201,0.24651193618774414,94.0,0.21452894806861877,100.0,12,3
401,0.05225002393126488,99.0,0.05025916174054146,98.0,12,3
501,0.03925032541155815,99.0,0.04793822392821312,98.0,12,3
601,0.03227289766073227,99.0,0.050908513367176056,98.0,12,3
701,0.028461044654250145,99.0,0.05666442960500717,98.0,12,3
800,0.026202596724033356,99.0,0.062454089522361755,98.0,12,3
