epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.9189811944961548,69.0,0.9102847576141357,72.0,12,6
101,0.44914910197257996,84.0,0.4069752097129822,80.0,12,6
201,0.06322195380926132,99.0,0.058497071266174316,98.0,12,6
401,0.012940558604896069,100.0,0.08137112855911255,98.0,12,6
501,0.004880049265921116,100.0,0.11380596458911896,98.0,12,6
601,0.0018106335774064064,100.0,0.1368042379617691,98.0,12,6
701,0.0008723085629753768,100.0,0.14987917244434357,98.0,12,6
800,0.000506275100633502,100.0,0.15615253150463104,98.0,12,6
