epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.6427889466285706,77.0,0.6255739331245422,74.0,17,6
101,0.23708491027355194,97.0,0.20971906185150146,96.0,17,6
201,0.019841622561216354,99.0,0.07052755355834961,98.0,17,6
401,0.000808403710834682,100.0,0.13434815406799316,98.0,17,6
501,0.00028635220951400697,100.0,0.1529577374458313,98.0,17,6
601,0.00015596768935211003,100.0,0.16577360033988953,98.0,17,6
701,9.851257345872e-05,100.0,0.17770643532276154,98.0,17,6
800,6.840477726655081e-05,100.0,0.18732962012290955,98.0,17,6
