epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.6307010054588318,81.0,0.5822877287864685,80.0,17,9
101,0.16551414132118225,94.0,0.1694403886795044,90.0,17,9
201,0.0012876966502517462,100.0,0.12106403708457947,98.0,17,9
401,0.00014540870324708521,100.0,0.1686420440673828,98.0,17,9
501,8.341192005900666e-05,100.0,0.1798492968082428,98.0,17,9
601,5.5454518587794155e-05,100.0,0.18799801170825958,98.0,17,9
701,3.948476296500303e-05,100.0,0.19505058228969574,98.0,17,9
800,2.952614340756554e-05,100.0,0.20110982656478882,98.0,17,9
