epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.6830769181251526,65.0,0.6688131093978882,70.0,17,7
101,0.25559860467910767,94.0,0.21241547167301178,92.0,17,7
201,0.02536979876458645,99.0,0.04384925216436386,98.0,17,7
401,0.0011776183964684606,100.0,0.09675955027341843,98.0,17,7
501,0.0004726107290480286,100.0,0.10935521870851517,98.0,17,7
601,0.00024300893710460514,100.0,0.11905434727668762,98.0,17,7
701,0.00014874506450723857,100.0,0.12619054317474365,98.0,17,7
800,0.00010081358050229028,100.0,0.13196465373039246,98.0,17,7
