epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.5935367941856384,84.0,0.5473031997680664,84.0,17,8
101,0.09120850265026093,96.0,0.06087246537208557,98.0,17,8
201,0.002912459895014763,100.0,0.06615255028009415,96.0,17,8
401,0.00019820853776764125,100.0,0.19187146425247192,96.0,17,8
501,0.0001152193290181458,100.0,0.22838474810123444,96.0,17,8
601,6.852334627183154e-05,100.0,0.25229763984680176,96.0,17,8
701,2.5116347387665883e-05,100.0,0.27856308221817017,96.0,17,8
800,1.4992739124863874e-05,100.0,0.2924712300300598,96.0,17,8
