epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.7365559935569763,80.0,0.730857789516449,78.0,17,5
101,0.2510853707790375,92.0,0.24045699834823608,88.0,17,5
201,0.026065919548273087,100.0,0.06569804251194,98.0,17,5
401,0.0015830202028155327,100.0,0.08542125672101974,98.0,17,5
501,0.0007379018352366984,100.0,0.08597765862941742,98.0,17,5
601,0.000433829496614635,100.0,0.08627059310674667,98.0,17,5
701,0.00028782442677766085,100.0,0.08644736558198929,98.0,17,5
800,0.00020599254639819264,100.0,0.08614365756511688,98.0,17,5
