epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,1.0802764892578125,52.999996185302734,1.0896222591400146,46.0,4,5
101,1.017784595489502,55.0,1.0415222644805908,46.0,4,5
201,0.8322854042053223,52.0,0.8816394209861755,46.0,4,5
401,0.5984764099121094,88.0,0.6301543712615967,84.0,4,5
501,0.5132390856742859,90.0,0.5427730083465576,82.0,4,5
601,0.45093971490859985,90.0,0.47138673067092896,82.0,4,5
701,0.40503254532814026,91.0,0.41619300842285156,86.0,4,5
800,0.3697918653488159,92.0,0.3731670379638672,86.0,4,5
