epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.337978333234787,88.0,0.30767711997032166,86.0,32,3
101,0.1403253972530365,95.0,0.11143357306718826,98.0,32,3
201,0.040253348648548126,99.0,0.03745805099606514,98.0,32,3
401,0.01258778665214777,100.0,0.05341615527868271,98.0,32,3
501,0.006431096233427525,100.0,0.05987192690372467,98.0,32,3
601,0.003246514592319727,100.0,0.06298766285181046,98.0,32,3
701,0.0017945904983207583,100.0,0.06427507102489471,98.0,32,3
800,0.0010952157899737358,100.0,0.06843779236078262,98.0,32,3
