epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.2468351423740387,97.0,0.19915711879730225,98.0,32,9
101,0.016909334808588028,100.0,0.06277967244386673,98.0,32,9
201,0.00027740560472011566,100.0,0.18318887054920197,98.0,32,9
401,7.607628958794521e-06,100.0,0.2947109341621399,98.0,32,9
501,4.861222350882599e-06,100.0,0.30960142612457275,98.0,32,9
601,3.5225614283262985e-06,100.0,0.32003283500671387,98.0,32,9
701,2.6702452942117816e-06,100.0,0.32820019125938416,98.0,32,9
800,2.124281991200405e-06,100.0,0.3350380063056946,98.0,32,9
