epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,1.0573428869247437,35.0,1.063271403312683,30.000001907348633,4,9
101,0.8776918649673462,71.0,0.8469437956809998,76.0,4,9
201,0.5144563317298889,69.0,0.4628334045410156,70.0,4,9
401,0.08676275610923767,99.0,0.07546858489513397,98.0,4,9
501,0.034660715609788895,99.0,0.06480792164802551,98.0,4,9
601,0.011109265498816967,100.0,0.10855761170387268,98.0,4,9
701,0.0037401404697448015,100.0,0.14487531781196594,98.0,4,9
800,0.00199095974676311,100.0,0.17404992878437042,98.0,4,9
