epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.8914626836776733,44.0,0.94576096534729,46.0,4,2
101,0.8122457265853882,70.0,0.8678426146507263,54.000003814697266,4,2
201,0.6835997700691223,82.0,0.7353379726409912,82.0,4,2
401,0.4492262303829193,90.0,0.4731326997280121,92.0,4,2
501,0.3295959532260895,93.0,0.34432074427604675,100.0,4,2
601,0.23129169642925262,96.0,0.24319244921207428,100.0,4,2
701,0.15481099486351013,96.0,0.16549530625343323,100.0,4,2
800,0.10630107671022415,97.0,0.11469108611345291,96.0,4,2
