epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.88335120677948,70.0,0.8897953629493713,76.0,4,1
101,0.7760581970214844,74.0,0.7832574248313904,78.0,4,1
201,0.5656599998474121,78.0,0.5631096363067627,82.0,4,1
401,0.39338505268096924,83.0,0.3859943747520447,82.0,4,1
501,0.34615790843963623,84.0,0.33720898628234863,84.0,4,1
601,0.3024495542049408,87.0,0.29198187589645386,86.0,4,1
701,0.2606595456600189,91.0,0.2477579116821289,92.0,4,1
800,0.2207370400428772,93.0,0.20467723906040192,96.0,4,1
