epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,1.01954984664917,32.0,0.9638329148292542,40.0,17,1
101,0.7310153841972351,68.0,0.6717474460601807,70.0,17,1
201,0.4742182195186615,84.0,0.43949195742607117,82.0,17,1
401,0.3051508963108063,89.0,0.2887697219848633,84.0,17,1
501,0.24715571105480194,93.0,0.22684124112129211,90.0,17,1
601,0.1948194056749344,95.0,0.1700112372636795,100.0,17,1
701,0.154732346534729,95.0,0.1290634274482727,100.0,17,1
800,0.1257261335849762,97.0,0.10219821333885193,98.0,17,1
