epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.6374379396438599,66.0,0.5847704410552979,68.0,12,8
101,0.4310910105705261,84.0,0.39896348118782043,86.0,12,8
201,0.03777948021888733,99.0,0.043442390859127045,98.0,12,8
401,0.0024312396999448538,100.0,0.14079633355140686,98.0,12,8
501,0.0008188536739908159,100.0,0.16738975048065186,98.0,12,8
601,0.0003962092159781605,100.0,0.1856452375650406,98.0,12,8
701,0.00022928163525648415,100.0,0.1993461549282074,98.0,12,8
800,0.00015045897453092039,100.0,0.21050406992435455,98.0,12,8
