epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.7842194437980652,75.0,0.740013599395752,82.0,17,2
101,0.4467412829399109,87.0,0.42861488461494446,86.0,17,2
201,0.21172456443309784,93.0,0.20160771906375885,90.0,17,2
401,0.0750354528427124,98.0,0.06096427142620087,98.0,17,2
501,0.056280627846717834,99.0,0.047581758350133896,98.0,17,2
601,0.045298606157302856,99.0,0.04349961131811142,98.0,17,2
701,0.038324322551488876,99.0,0.042857952415943146,98.0,17,2
800,0.033393409103155136,99.0,0.04458168148994446,98.0,17,2
