epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.38111957907676697,85.0,0.34652793407440186,84.0,32,5
101,0.0848098024725914,97.0,0.051457758992910385,100.0,32,5
201,0.007093292661011219,100.0,0.042578574270009995,98.0,32,5
401,0.0002791831793729216,100.0,0.02974284626543522,98.0,32,5
501,0.00014237883442547172,100.0,0.026820166036486626,98.0,32,5
601,8.597897249273956e-05,100.0,0.02523559331893921,98.0,32,5
701,5.706131560145877e-05,100.0,0.023762501776218414,98.0,32,5
800,4.059244383824989e-05,100.0,0.022734813392162323,98.0,32,5
