epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer,layers
51,0.4661481976509094,88.0,0.4422250986099243,84.0,32,2
101,0.2563493847846985,93.0,0.23413561284542084,92.0,32,2
201,0.08577685058116913,98.0,0.06671810895204544,98.0,32,2
401,0.0317310132086277,99.0,0.043533291667699814,98.0,32,2
501,0.023804351687431335,99.0,0.048733510076999664,98.0,32,2
601,0.017662744969129562,100.0,0.05654194951057434,98.0,32,2
701,0.012880041263997555,100.0,0.06534039229154587,98.0,32,2
800,0.009198070503771305,100.0,0.07374337315559387,98.0,32,2
