epoch,loss,accuracy,test_loss,test_accuracy
1,1.0992754697799683,34.0,1.0952637195587158,32.0
2,1.097710371017456,35.0,1.0940635204315186,32.0
3,1.096112847328186,35.0,1.0928915739059448,28.0
4,1.0945115089416504,38.0,1.0916738510131836,24.0
5,1.0928758382797241,36.0,1.0904031991958618,26.0
6,1.0912070274353027,35.0,1.0891073942184448,30.000001907348633
7,1.0895209312438965,34.0,1.0878180265426636,34.0
8,1.0878628492355347,36.0,1.086496114730835,36.0
9,1.086247205734253,40.0,1.0851161479949951,34.0
10,1.0846292972564697,42.0,1.083676815032959,34.0
11,1.0830106735229492,39.0,1.0821553468704224,40.0
12,1.0813766717910767,43.0,1.0805646181106567,42.0
13,1.0797150135040283,41.0,1.0789016485214233,44.0
14,1.0780248641967773,43.0,1.0771583318710327,46.0
15,1.0763325691223145,47.0,1.0753722190856934,48.0
16,1.074630856513977,52.0,1.0736106634140015,52.0
17,1.0728826522827148,52.999996185302734,1.0718556642532349,52.0
18,1.071119785308838,54.000003814697266,1.0700706243515015,54.000003814697266
19,1.069350242614746,58.999996185302734,1.0682612657546997,60.000003814697266
20,1.0675454139709473,58.0,1.0664360523223877,62.0
21,1.065674901008606,58.0,1.0645744800567627,62.0
22,1.063819169998169,61.0,1.0627102851867676,62.0
23,1.0619471073150635,62.0,1.0608642101287842,60.000003814697266
24,1.0600504875183105,63.0,1.0590213537216187,60.000003814697266
25,1.0581142902374268,64.0,1.0571551322937012,62.0
26,1.0561734437942505,67.0,1.0552562475204468,62.0
27,1.0541913509368896,67.0,1.0533206462860107,62.0
28,1.0521315336227417,68.0,1.051365852355957,62.0
29,1.0500049591064453,68.0,1.0493813753128052,64.0
30,1.0478515625,70.0,1.0473464727401733,68.0
31,1.0456702709197998,71.0,1.0452502965927124,68.0
32,1.0434621572494507,71.0,1.0430279970169067,68.0
33,1.0412307977676392,70.0,1.0407612323760986,68.0
34,1.0389549732208252,70.0,1.0384293794631958,70.0
35,1.0366225242614746,71.0,1.0360676050186157,70.0
36,1.0342297554016113,72.0,1.0336782932281494,70.0
37,1.031794786453247,73.0,1.0311692953109741,70.0
38,1.0293058156967163,73.0,1.0285420417785645,72.0
39,1.0267632007598877,74.0,1.0258692502975464,72.0
40,1.0241632461547852,74.0,1.0231389999389648,72.0
41,1.021514654159546,75.0,1.0203509330749512,70.0
42,1.0188214778900146,77.0,1.0174678564071655,70.0
43,1.0160880088806152,78.0,1.014509916305542,70.0
44,1.0132960081100464,77.0,1.0115035772323608,68.0
45,1.0104515552520752,78.0,1.0084739923477173,68.0
46,1.007549524307251,79.0,1.0053898096084595,68.0
47,1.0045688152313232,79.0,1.0022575855255127,68.0
48,1.0015126466751099,78.0,0.9990125894546509,68.0
49,0.9983747005462646,80.0,0.9957035779953003,68.0
50,0.9951689839363098,80.0,0.9923365116119385,68.0
51,0.991894006729126,80.0,0.988905668258667,68.0
52,0.9885588884353638,80.0,0.9854094982147217,68.0
53,0.9851632118225098,80.0,0.9818469285964966,70.0
54,0.981715977191925,80.0,0.9782167077064514,70.0
55,0.9781924486160278,80.0,0.9744836688041687,72.0
56,0.9745730757713318,81.0,0.9706724286079407,72.0
57,0.9709113836288452,81.0,0.9668123126029968,72.0
58,0.9671986103057861,81.0,0.9628341794013977,72.0
59,0.9634281992912292,81.0,0.958781361579895,72.0
60,0.9595633149147034,82.0,0.9546481370925903,72.0
61,0.9556218981742859,83.0,0.9504144191741943,72.0
62,0.9516013264656067,82.0,0.9460907578468323,74.0
63,0.9474716186523438,81.0,0.9417089223861694,74.0
64,0.9432629942893982,80.0,0.9372947812080383,74.0
65,0.9389809966087341,79.0,0.9328153729438782,74.0
66,0.9346758127212524,80.0,0.9282389283180237,74.0
67,0.9302726984024048,80.0,0.9236021637916565,76.0
68,0.9257758855819702,80.0,0.9188485741615295,78.0
69,0.9212016463279724,80.0,0.9139660596847534,80.0
70,0.916543185710907,80.0,0.9090055823326111,80.0
71,0.911805272102356,81.0,0.9039502143859863,80.0
72,0.9070013165473938,81.0,0.898805558681488,80.0
73,0.902128279209137,82.0,0.8936230540275574,82.0
74,0.8972201347351074,82.0,0.8884474039077759,82.0
75,0.8923066854476929,82.0,0.8832957744598389,82.0
76,0.8873469829559326,82.0,0.8781223893165588,82.0
77,0.8823390007019043,82.0,0.8729194402694702,82.0
78,0.8772655725479126,81.0,0.8676220774650574,84.0
79,0.872100830078125,79.0,0.8622015118598938,84.0
80,0.8667855858802795,79.0,0.8566831946372986,84.0
81,0.8613520860671997,79.0,0.8510610461235046,84.0
82,0.8558036684989929,79.0,0.8453294634819031,84.0
83,0.8501603007316589,80.0,0.8395088911056519,84.0
84,0.844430685043335,80.0,0.8335994482040405,84.0
85,0.838610827922821,79.0,0.8276032209396362,84.0
86,0.8326988220214844,79.0,0.821556568145752,84.0
87,0.8266708850860596,79.0,0.8154814839363098,84.0
88,0.820557177066803,79.0,0.8093602657318115,84.0
89,0.8143683671951294,79.0,0.8031923770904541,84.0
90,0.8081474900245667,79.0,0.7969921827316284,82.0
