epoch,loss,accuracy,test_loss,test_accuracy
1,1.1432404518127441,33.0,0.9759578108787537,38.0
2,1.1380847692489624,33.0,0.9715713262557983,38.0
3,1.1329491138458252,33.0,0.9672223925590515,38.0
4,1.127828598022461,33.0,0.9629015922546387,38.0
5,1.122728943824768,33.0,0.9586132764816284,38.0
6,1.1176519393920898,33.0,0.9543536901473999,38.0
7,1.112612247467041,33.0,0.9501190781593323,38.0
8,1.1075938940048218,34.0,0.9459163546562195,38.0
9,1.1026008129119873,34.0,0.9417287707328796,38.0
10,1.0976299047470093,34.0,0.9375022649765015,38.0
11,1.0926733016967773,34.0,0.9332646727561951,38.0
12,1.087740421295166,34.0,0.9290422201156616,38.0
13,1.0828423500061035,34.0,0.9248614311218262,38.0
14,1.0779979228973389,34.0,0.9207093715667725,38.0
15,1.0731827020645142,34.0,0.9165839552879333,40.0
16,1.0683645009994507,35.0,0.9124814867973328,40.0
17,1.0635629892349243,35.0,0.9084022641181946,40.0
18,1.05879545211792,35.0,0.9043487310409546,40.0
19,1.0540610551834106,35.0,0.9003211259841919,40.0
20,1.0493510961532593,35.0,0.8963194489479065,40.0
21,1.0446650981903076,35.0,0.8923436999320984,40.0
22,1.0400021076202393,35.0,0.8883907198905945,40.0
23,1.0353350639343262,35.0,0.8844568133354187,40.0
24,1.0306909084320068,35.0,0.8805474638938904,42.0
25,1.0260703563690186,36.0,0.8766628503799438,42.0
26,1.0214734077453613,36.0,0.8728029131889343,42.0
27,1.016900658607483,37.0,0.8689680695533752,42.0
28,1.0123447179794312,37.0,0.8651559352874756,42.0
29,1.007796049118042,37.0,0.8613671660423279,42.0
30,1.0032706260681152,37.0,0.8576023578643799,42.0
31,0.9987832903862,37.0,0.8538616299629211,42.0
32,0.9943191409111023,38.0,0.8502007126808167,42.0
33,0.9898788928985596,39.0,0.8466861248016357,42.0
34,0.9854630827903748,39.0,0.8431963324546814,42.0
35,0.9810718297958374,39.0,0.8397313952445984,42.0
36,0.9767053127288818,39.0,0.8362912535667419,42.0
37,0.9723623394966125,40.0,0.8328754901885986,42.0
38,0.9680445790290833,40.0,0.8294832110404968,42.0
39,0.9637548923492432,40.0,0.826112687587738,44.0
40,0.959523618221283,41.0,0.8227511644363403,44.0
41,0.9553605914115906,41.0,0.8193991780281067,44.0
42,0.9512062072753906,42.0,0.8160585165023804,44.0
43,0.9470744132995605,43.0,0.8127305507659912,46.0
44,0.942966103553772,43.0,0.809416651725769,46.0
45,0.9388810992240906,43.0,0.8061169385910034,46.0
46,0.934804379940033,43.0,0.8028323650360107,48.0
47,0.9307497143745422,43.0,0.7995638847351074,48.0
48,0.9267178177833557,43.0,0.7963123917579651,50.0
49,0.9227088689804077,44.0,0.7930784821510315,50.0
50,0.9187237620353699,44.0,0.7898628115653992,50.0
51,0.9147619009017944,44.0,0.7866657972335815,50.0
52,0.9108173847198486,44.0,0.7834869623184204,50.0
53,0.9069080352783203,45.0,0.7803066968917847,50.0
54,0.9030202627182007,45.0,0.7771093249320984,50.0
55,0.8991389274597168,46.0,0.7739323377609253,52.0
56,0.8952746391296387,47.0,0.7707900404930115,52.0
57,0.8914291262626648,48.0,0.7676637172698975,52.0
58,0.8876030445098877,48.0,0.7645543813705444,52.0
59,0.8837907314300537,48.0,0.7614613175392151,52.0
60,0.8799751996994019,48.0,0.7583833336830139,52.0
61,0.8761689066886902,48.0,0.7553216814994812,54.000003814697266
62,0.8723821043968201,48.0,0.752228319644928,56.0
63,0.8686169385910034,50.0,0.7491277456283569,60.000003814697266
64,0.8648766279220581,50.0,0.7460455298423767,60.000003814697266
65,0.8611562252044678,50.0,0.742982029914856,62.0
66,0.8574647307395935,50.0,0.7399380207061768,62.0
67,0.8537828326225281,50.0,0.7369124889373779,62.0
68,0.8501163721084595,50.0,0.7339085340499878,64.0
69,0.8464691042900085,50.0,0.7309229969978333,64.0
70,0.8428397178649902,50.0,0.7279557585716248,64.0
71,0.8392308950424194,50.0,0.7250043749809265,64.0
72,0.8356421589851379,50.0,0.7220325469970703,64.0
73,0.8320738077163696,50.0,0.7190850973129272,64.0
74,0.828528881072998,50.0,0.7161603569984436,64.0
75,0.8250036835670471,51.0,0.7132576107978821,64.0
76,0.8214963674545288,52.0,0.7103660106658936,64.0
