epoch,loss,accuracy,test_loss,test_accuracy
1,1.0765511989593506,31.0,1.0309849977493286,40.0
2,1.0696338415145874,32.0,1.0233283042907715,40.0
3,1.062697172164917,32.0,1.0157370567321777,40.0
4,1.0557726621627808,32.0,1.0082398653030396,40.0
5,1.048916220664978,33.0,1.0008364915847778,40.0
6,1.0421408414840698,33.0,0.9935151934623718,40.0
7,1.0353875160217285,34.0,0.9862596392631531,40.0
8,1.028662919998169,35.0,0.9790031313896179,40.0
9,1.0220494270324707,35.0,0.9718205332756042,40.0
10,1.0155109167099,35.0,0.9647372364997864,40.0
11,1.009018898010254,35.0,0.9577145576477051,40.0
12,1.0025767087936401,35.0,0.9507656693458557,42.0
13,0.9962090253829956,36.0,0.9438841342926025,44.0
14,0.9899485111236572,36.0,0.9370976090431213,44.0
15,0.9838322997093201,38.0,0.9304090738296509,44.0
16,0.9777622818946838,38.0,0.9237701296806335,44.0
17,0.9717327356338501,39.0,0.9172917008399963,44.0
18,0.9657878279685974,39.0,0.9110870361328125,46.0
19,0.9599230289459229,40.0,0.9049870371818542,44.0
20,0.9541909098625183,41.0,0.8990737199783325,46.0
21,0.9485242962837219,41.0,0.8933987617492676,46.0
22,0.9430160522460938,41.0,0.887889564037323,50.0
23,0.9376004934310913,41.0,0.8824429512023926,50.0
24,0.9323508739471436,40.0,0.8770455121994019,50.0
25,0.9272032380104065,41.0,0.8715800642967224,50.0
26,0.9221420288085938,42.0,0.8661558032035828,50.0
27,0.9171984791755676,42.0,0.8607824444770813,50.0
28,0.9123436808586121,42.0,0.8554232120513916,52.0
29,0.9074589014053345,44.0,0.8501240015029907,54.000003814697266
30,0.9025914072990417,44.0,0.844871461391449,54.000003814697266
31,0.8977606892585754,44.0,0.8396349549293518,56.0
32,0.8929735422134399,44.0,0.8344557285308838,56.0
33,0.8882558345794678,48.0,0.8293309211730957,58.0
34,0.8836004137992859,52.0,0.8243069648742676,58.0
35,0.8789940476417542,52.999996185302734,0.819364607334137,58.0
36,0.8744301795959473,57.0,0.8144880533218384,58.0
37,0.8699116706848145,62.0,0.8096976280212402,64.0
38,0.86542809009552,69.0,0.8049495220184326,70.0
39,0.8609151244163513,70.0,0.8002643585205078,76.0
40,0.8564111590385437,74.0,0.7955842614173889,78.0
41,0.8518989682197571,75.0,0.7909759283065796,78.0
42,0.8474099636077881,78.0,0.7864804267883301,80.0
43,0.8429737091064453,79.0,0.7820446491241455,80.0
44,0.8385555148124695,80.0,0.7776378393173218,82.0
45,0.8341962695121765,84.0,0.7732348442077637,84.0
46,0.8299464583396912,84.0,0.7688134908676147,84.0
