epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.8412344455718994,79.0,0.8166302442550659,82.0,17
101,0.2209809422492981,94.0,0.20357391238212585,92.0,17
201,0.02580840513110161,100.0,0.05843445286154747,98.0,17
401,0.0022952111903578043,100.0,0.14950379729270935,98.0,17
501,0.0010894221486523747,100.0,0.1763925701379776,98.0,17
601,0.0006317768129520118,100.0,0.19590553641319275,98.0,17
701,0.0004099018988199532,100.0,0.20972386002540588,98.0,17
800,0.00028689554892480373,100.0,0.2204105257987976,98.0,17
