epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.9095240831375122,79.0,0.9086660742759705,80.0,12
101,0.6945260763168335,86.0,0.6679629683494568,84.0,12
201,0.3356987237930298,88.0,0.30523982644081116,90.0,12
401,0.10051392763853073,96.0,0.08476712554693222,98.0,12
501,0.06916578114032745,98.0,0.06805284321308136,98.0,12
601,0.05266109108924866,98.0,0.06073421612381935,98.0,12
701,0.04234452545642853,99.0,0.05881692096590996,98.0,12
800,0.035038117319345474,99.0,0.05892877280712128,98.0,12
