epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.36680594086647034,90.0,0.32223883271217346,86.0,32
101,0.04278494045138359,99.0,0.03563370555639267,98.0,32
201,0.0011659770971164107,100.0,0.07037635147571564,98.0,32
401,0.000130882253870368,100.0,0.0982871949672699,98.0,32
501,7.620747055625543e-05,100.0,0.10508053004741669,98.0,32
601,4.975933916284703e-05,100.0,0.11130619049072266,98.0,32
701,3.476066922303289e-05,100.0,0.11726889759302139,98.0,32
800,2.539164779591374e-05,100.0,0.12344846874475479,98.0,32
