epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.20257800817489624,93.0,0.17669303715229034,90.0,32
101,0.019584955647587776,99.0,0.05783197283744812,98.0,32
201,0.00032082476536743343,100.0,0.1049557775259018,98.0,32
401,5.170438453205861e-05,100.0,0.11833036690950394,98.0,32
501,3.1702813430456445e-05,100.0,0.12144146859645844,98.0,32
601,1.7999112969846465e-05,100.0,0.1284051537513733,98.0,32
701,1.0028697943198495e-05,100.0,0.14351226389408112,98.0,32
800,5.8971404541807715e-06,100.0,0.15573745965957642,98.0,32
