epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,1.0898540019989014,49.0,1.1025702953338623,34.0,4
101,1.0603671073913574,54.000003814697266,1.0819180011749268,36.0,4
201,0.8685487508773804,50.0,0.9007980823516846,40.0,4
401,0.656322181224823,86.0,0.6718589067459106,80.0,4
501,0.5577241778373718,88.0,0.574780285358429,84.0,4
601,0.4693886637687683,91.0,0.48542386293411255,88.0,4
701,0.38807743787765503,93.0,0.39934372901916504,96.0,4
800,0.3165774345397949,94.0,0.3218373954296112,100.0,4
