epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.668123185634613,80.0,0.6273809671401978,78.0,17
101,0.5190545320510864,85.0,0.48385581374168396,82.0,17
201,0.33897626399993896,92.0,0.32045403122901917,84.0,17
401,0.19361911714076996,95.0,0.16844917833805084,94.0,17
501,0.14938509464263916,95.0,0.12178853899240494,98.0,17
601,0.11905205994844437,96.0,0.09322719275951385,98.0,17
701,0.09839524328708649,96.0,0.07675662636756897,98.0,17
800,0.08307290822267532,97.0,0.06709493696689606,98.0,17
