epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,1.1487441062927246,46.0,1.1422207355499268,38.0,4
101,0.9788485765457153,60.000003814697266,0.9491028785705566,62.0,4
201,0.7658489346504211,52.999996185302734,0.7142987847328186,58.0,4
401,0.5812819004058838,65.0,0.5186504125595093,70.0,4
501,0.5374053120613098,65.0,0.4752703011035919,72.0,4
601,0.5008577108383179,65.0,0.4400642514228821,72.0,4
701,0.4651050865650177,76.0,0.4077371656894684,74.0,4
800,0.4298321008682251,83.0,0.3771263062953949,84.0,4
