epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.8210144639015198,83.0,0.8557755947113037,84.0,17
101,0.17417633533477783,96.0,0.14365769922733307,98.0,17
201,0.02163919247686863,99.0,0.07398761063814163,98.0,17
401,0.0011595565592870116,100.0,0.2512090802192688,98.0,17
501,0.000443801109213382,100.0,0.31006407737731934,98.0,17
601,0.00023712309484835714,100.0,0.3509036600589752,98.0,17
701,0.00014908768935129046,100.0,0.3813600540161133,98.0,17
800,0.0001031396459438838,100.0,0.40583696961402893,98.0,17
