epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.9898704290390015,38.0,0.9879099130630493,36.0,32
101,0.6597700715065002,86.0,0.6416969299316406,80.0,32
201,0.34563273191452026,91.0,0.3296414613723755,90.0,32
401,0.16299185156822205,95.0,0.1373165100812912,98.0,32
501,0.1212552934885025,97.0,0.09845428168773651,98.0,32
601,0.09596473723649979,97.0,0.07804692536592484,98.0,32
701,0.08024255931377411,99.0,0.06659243255853653,98.0,32
800,0.06992384791374207,99.0,0.05979117378592491,98.0,32
