epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.7999588251113892,65.0,0.7201118469238281,70.0,12
101,0.6798690557479858,83.0,0.6119605898857117,78.0,12
201,0.48877203464508057,87.0,0.4610997140407562,82.0,12
401,0.2745733857154846,93.0,0.2716113030910492,88.0,12
501,0.21225515007972717,94.0,0.1988449990749359,94.0,12
601,0.16015182435512543,95.0,0.14440970122814178,98.0,12
701,0.12720508873462677,96.0,0.10962006449699402,98.0,12
800,0.10551279038190842,96.0,0.08905666321516037,98.0,12
