epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.8336671590805054,73.0,0.8198540210723877,62.0,12
101,0.4961925446987152,84.0,0.4775484502315521,86.0,12
201,0.08255336433649063,99.0,0.06798616051673889,98.0,12
401,0.016490427777171135,100.0,0.03893414884805679,98.0,12
501,0.006927655544131994,100.0,0.04790506511926651,98.0,12
601,0.0030156360007822514,100.0,0.053290434181690216,98.0,12
701,0.0016106745461001992,100.0,0.05643376335501671,98.0,12
800,0.0009853775845840573,100.0,0.05850580707192421,98.0,12
