epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.22994858026504517,93.0,0.21730418503284454,88.0,32
101,0.02196435257792473,99.0,0.07806657999753952,98.0,32
201,0.000588327064178884,100.0,0.20462381839752197,98.0,32
401,9.163139475276694e-05,100.0,0.2542813718318939,98.0,32
501,5.607988350675441e-05,100.0,0.26674684882164,98.0,32
601,3.813939474639483e-05,100.0,0.27636048197746277,98.0,32
701,2.7558422516449355e-05,100.0,0.28440701961517334,98.0,32
800,2.0841462173848413e-05,100.0,0.29108157753944397,98.0,32
