epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.8529992699623108,86.0,0.7858352065086365,82.0,12
101,0.5873052477836609,93.0,0.5238463878631592,96.0,12
201,0.013315652497112751,100.0,0.10611692070960999,96.0,12
401,0.0005692332633771002,100.0,0.16962704062461853,98.0,12
501,0.0002813757455442101,100.0,0.18486011028289795,98.0,12
601,0.00016319892893079668,100.0,0.20132829248905182,98.0,12
701,0.00010667581955203786,100.0,0.21645887196063995,98.0,12
800,7.504921813961118e-05,100.0,0.22974881529808044,96.0,12
