epoch,loss,accuracy,test_loss,test_accuracy,nodes_per_layer
51,0.7375894784927368,89.0,0.667857825756073,86.0,17
101,0.29832518100738525,96.0,0.24297137558460236,98.0,17
201,0.002187020843848586,100.0,0.13396614789962769,98.0,17
401,0.00021475309040397406,100.0,0.19174601137638092,96.0,17
501,0.00012336518557276577,100.0,0.20696665346622467,96.0,17
601,8.10797864687629e-05,100.0,0.2186957150697708,96.0,17
701,5.763040098827332e-05,100.0,0.22785598039627075,96.0,17
800,4.321980304666795e-05,100.0,0.2358570694923401,96.0,17
